year,month,fakex,fakey,city,state
2008,12,201,0,Baton Rouge,LA
2009,1,202,0,Baton Rouge,LA
2009,2,203,0,Baton Rouge,LA
2009,3,204,0,Baton Rouge,LA
2009,4,205,0,Baton Rouge,LA
2009,5,206,0,Baton Rouge,LA
2009,6,207,0,Baton Rouge,LA
2009,7,208,0,Baton Rouge,LA
2009,8,209,0,Baton Rouge,LA
2009,9,210,0,Baton Rouge,LA
2009,10,211,0,Baton Rouge,LA
2009,11,212,0,Baton Rouge,LA
2009,12,213,0,Baton Rouge,LA
2010,1,214,0,Baton Rouge,LA
2010,2,215,0,Baton Rouge,LA
2010,3,216,0,Baton Rouge,LA
2010,4,217,0,Baton Rouge,LA
2010,5,218,0,Baton Rouge,LA
2010,6,219,0,Baton Rouge,LA
2010,7,220,0,Baton Rouge,LA
2010,8,221,0,St. Louis,MO
2010,9,222,0,St. Louis,MO
2010,10,223,0,St. Louis,MO
2010,11,224,0,St. Louis,MO
2010,12,225,0,St. Louis,MO
2011,1,226,0,St. Louis,MO
2011,2,227,0,St. Louis,MO
2011,3,228,0,St. Louis,MO
2011,4,229,0,St. Louis,MO
2011,5,230,0,St. Louis,MO
2011,6,231,0,Baton Rouge,LA
2011,7,232,0,Baton Rouge,LA
2011,8,233,0,St. Louis,MO
2011,9,234,0,St. Louis,MO
2011,10,235,0,St. Louis,MO
2011,11,236,0,St. Louis,MO
2011,12,237,0,St. Louis,MO
2012,1,238,0,St. Louis,MO
2012,2,239,0,St. Louis,MO
2012,3,240,0,St. Louis,MO
2012,4,241,0,St. Louis,MO
2012,5,242,0,St. Louis,MO
2012,6,243,0,Baton Rouge,LA
2012,7,244,0,Baton Rouge,LA
2012,8,245,0,St. Louis,MO
2012,9,246,0,St. Louis,MO
2012,10,247,0,St. Louis,MO
2012,11,248,0,St. Louis,MO
2012,12,249,0,St. Louis,MO
2013,1,250,0,Baton Rouge,LA
2013,2,251,0,Auckland,NZ
2013,3,252,0,Auckland,NZ
2013,4,253,0,Auckland,NZ
2013,5,254,0,Auckland,NZ
2013,6,255,0,Auckland,NZ
2013,7,256,0,Auckland,NZ
2013,8,257,0,St. Louis,MO
2013,9,258,0,St. Louis,MO
2013,10,259,0,St. Louis,MO
2013,11,260,0,St. Louis,MO
2013,12,261,0,St. Louis,MO
2014,1,262,0,St. Louis,MO
2014,2,263,0,St. Louis,MO
2014,3,264,0,St. Louis,MO
2014,4,265,0,St. Louis,MO
2014,5,266,0,St. Louis,MO
2014,6,267,0,Baton Rouge,LA
2014,7,268,0,Baton Rouge,LA
2014,8,269,0,San Francisco,CA
2014,9,270,0,San Francisco,CA
2014,10,271,0,San Francisco,CA
2014,11,272,0,San Francisco,CA
2014,12,273,0,San Francisco,CA
2015,1,274,0,San Francisco,CA
2015,2,275,0,San Francisco,CA
2015,3,276,0,San Francisco,CA
2015,4,277,0,San Francisco,CA
2015,5,278,0,San Francisco,CA
2015,6,279,0,San Francisco,CA
2015,7,280,0,San Francisco,CA
2015,8,281,0,San Francisco,CA
